Chr	Start	End	Gene_id
X	22272943	22274461	ZNF645
X	22428132	22494713	RP11-494I9.2
X	22698457	22768966	GS1-433O24.1
X	22999961	23003589	DDX53
X	23334015	23404372	PTCHD1
X	23664262	23686399	PRDX4
X	23702253	23766475	ACOT9
X	23772992	23782956	RP13-314C10.5
X	23783173	23786226	SAT1
X	23833353	23907934	APOO
X	23907801	23939507	CXorf58
X	23983720	24027186	KLHL15
X	24054716	24077971	EIF2S3
X	24146225	24149654	ZFX-AS1
X	24149173	24216255	ZFX
X	24465221	24539837	PDK3
X	24558087	24672677	PCYT1B
X	24650073	24658237	PCYT1B-AS1
X	24693919	24996986	POLA1
X	25003694	25015948	ARX
X	25878339	25893544	RP11-86A5.1
X	26138343	26140735	MAGEB18
X	26160601	26161824	MAGEB6P1
X	26192440	26195646	MAGEB6
X	26216169	26218270	MAGEB5
X	26558337	26561052	VENTXP1
X	27042907	27176298	RP11-268G12.3
X	27174920	27398997	RP11-268G12.1
X	27590382	27748821	DCAF8L2
X	27807990	27823014	MAGEB10
X	27977993	27981355	DCAF8L1
X	28571532	28586395	RP11-149B9.2
X	28587399	29956723	IL1RAPL1
X	30215560	30220089	MAGEB2
X	30230436	30237492	MAGEB3
X	30242052	30244193	MAGEB4
X	30243730	30252038	MAGEB1
X	30304206	30309598	NR0B1
X	30558824	30577844	CXorf21
X	30653359	30731456	GK
X	30699998	30724174	GK-AS1
X	30827442	30975084	TAB3
X	30834623	30835300	TAB3-AS1
X	30854321	30854707	TAB3-AS2
X	31071241	31072053	FTHL17
X	31097677	33339441	DMD
X	32754940	32756400	DMD-AS3
X	33726508	33942280	RP11-305F18.1
X	34129756	34132314	FAM47A
X	34206725	34415537	RP11-545D19.1
X	34627064	34657288	TMEM47
X	34942796	34944915	FAM47B
X	35798342	35803735	MAGEB16
X	35919734	36385319	CFAP47
X	36365626	36440292	RP11-87M18.2
X	37008397	37011666	FAM47C
X	37349275	37457295	PRRG1
X	37349330	38687674	RP5-972B16.2
X	37571569	37684463	LANCL3
X	37685759	37732130	XK
X	37780011	37813461	CYBB
X	37836757	37847637	DYNLT3
X	37906147	37949405	AL121578.2
X	37990817	37991317	HYPM
X	38006582	38128819	SYTL5
X	38149336	38220924	SRPX
X	38221391	38223667	RP13-43E11.1
X	38269163	38327564	RPGR
X	38352545	38421450	OTC
X	38561370	38688920	TSPAN7
X	38770331	38799658	RP4-646N3.1
X	38801432	38806537	MID1IP1
X	38801568	38803883	MID1IP1-AS1
X	39226103	39299786	RP11-265P11.1
X	39304956	39327362	LINC01281
X	39367285	39391774	LINC01282
X	39401252	39434824	RP11-157D23.2
X	39837536	39848358	RP13-126P21.2
X	40009276	40012182	AC092198.1
X	40049815	40177329	BCOR
X	40262917	40287720	RP11-320G24.1
X	40580908	40606637	ATP6AP2
X	40626921	40647554	CXorf38
X	40648306	40735858	MED14
X	40735400	40738701	MED14OS
X	41085635	41236579	USP9X
X	41275739	41276778	RP5-1172N10.2
X	41333348	41364472	DDX3X
X	41447434	41475710	NYX
X	41514934	41923463	CASK
X	41520036	41522336	CASK-AS1
X	41688973	41697277	GPR34
X	41724155	41730135	GPR82
X	42047883	42054836	RP11-524P6.1
X	42252459	42699385	RP1-154K9.2
X	42285229	42285603	AL023875.1
X	43176994	43226598	RP3-326I13.1
X	43654907	43746824	MAOA
X	43766611	43882447	MAOB
X	43948776	43973504	NDP
X	43949732	43969620	NDP-AS1
X	44147882	44343672	EFHC2
X	44523639	44543001	FUNDC1
X	44844004	44844888	DUSP21
X	44873177	45112602	KDM6A
X	45148374	45200901	CXorf36
X	45183251	45333917	RP11-342D14.1
X	45505388	45630202	LINC01204
X	45745211	45770274	MIR222HG
X	45764772	45765299	RP6-99M1.3
X	45848074	45851490	RP5-1158E12.3
X	45913267	45917040	RP5-1158E12.1
X	46325924	46327645	LINC01186
X	46446857	46497422	KRBOX4
X	46497727	46545457	ZNF674
X	46545493	46548408	ZNF674-AS1
X	46573784	46598408	CHST7
X	46599252	46759172	SLC9A7
X	46836940	46882358	RP2
X	46887417	46899703	LINC01545
X	46912276	47061242	JADE3
X	47078355	47093314	RGN
X	47142216	47145504	NDUFB11
X	47144869	47186813	RBM10
X	47190861	47215128	UBA1
X	47217860	47229997	CDK16
X	47232690	47248328	USP11
X	47297852	47298721	RP11-571E6.3
X	47370583	47414305	ZNF157
X	47445879	47482946	ZNF41
X	47483571	47484823	LINC01560
X	47561100	47571920	ARAF
X	47571898	47619853	SYN1
X	47582313	47586789	TIMP1
X	47624213	47630305	CFP
X	47635521	47650604	ELK1
X	47651798	47659161	UXT
X	47658833	47660377	UXT-AS1
X	47835953	47836793	AL022578.1
X	47836902	48002561	ZNF81
X	47974851	48003978	ZNF182
X	47983356	48071658	ZNF630
X	48004336	48009729	SPACA5
X	48056310	48066583	ZNF630-AS1
X	48130657	48132613	SPACA5B
X	48186220	48277578	SSX5
X	48255317	48267444	SSX1
X	48333675	48334439	RP11-344N17.8
X	48346428	48356707	SSX3
X	48383516	48393347	SSX4
X	48402078	48411910	SSX4B
X	48458537	48470256	SLC38A5
X	48476021	48486364	FTSJ1
X	48506523	48508838	AF196972.9
X	48508962	48520814	PORCN
X	48521158	48528716	EBP
X	48539457	48562609	TBC1D25
X	48568014	48574860	RP11-1148L6.9
X	48574449	48579066	RBM3
X	48579774	48581157	RP11-1148L6.5
X	48590042	48608867	WDR13
X	48676596	48691427	WAS
X	48695554	48709012	SUV39H1
X	48698963	48737163	AF196970.3
X	48761750	48773648	GLOD5
X	48786554	48794311	GATA1
X	48801377	48824982	HDAC6
X	48828873	48830138	ERAS
X	48831094	48835633	PCSK1N
X	48893447	48898143	TIMM17B
X	48897912	48903143	PQBP1
X	48903180	48911958	SLC35A2
X	48913182	48919024	PIM2
X	48922028	48958386	OTUD5
X	48961378	48971569	KCND1
X	48973720	49002264	GRIPAP1
X	49028726	49043486	TFE3
X	49053572	49069857	CCDC120
X	49071156	49074071	PRAF2
X	49071470	49101170	WDR45
X	49113389	49123801	GPKOW
X	49155242	49157351	AC231657.1
X	49162564	49168483	MAGIX
X	49171926	49175239	PLP2
X	49175264	49186528	PRICKLE3
X	49187804	49200259	SYP
X	49198966	49202454	SYP-AS1
X	49205063	49233371	CACNA1F
X	49235467	49250526	CCDC22
X	49250436	49264826	FOXP3
X	49269843	49301461	PPP1R3F
X	49273054	49275768	LL0XNC01-7P3.1
X	49303669	49319844	GAGE10
X	49322057	49329384	GAGE12J
X	49331616	49338952	GAGE13
X	49341192	49345922	GAGE2E
X	49529869	49529985	GAGE12B
X	49532211	49539538	GAGE12C
X	49541767	49549094	GAGE12D
X	49551333	49558649	GAGE12E
X	49560876	49568205	GAGE12F
X	49570434	49577754	GAGE12G
X	49579983	49587301	GAGE12H
X	49589496	49608536	GAGE1
X	49589529	49596827	GAGE2A
X	49687450	49695993	PAGE1
X	49829260	49833973	PAGE4
X	49876724	49879241	USP27X-AS1
X	49879948	49882565	USP27X
X	49922615	50099235	CLCN5
X	50190768	50201013	AKAP4
X	50202713	50351910	CCNB3
X	50365409	50470738	DGKK
X	50591647	50814302	SHROOM4
X	50910784	50916607	BMP15
X	51095844	51171400	LINC01284
X	51332231	51337525	NUDT10
X	51356944	51396462	RP11-348F1.3
X	51396511	51465661	RP11-348F1.2
X	51406915	51408843	CXorf67
X	51490011	51496596	NUDT11
X	51502090	51511005	LINC01496
X	51618055	51618918	CENPVP3
X	51681212	51682831	RP11-141O19.1
X	51710512	51712131	CENPVP1
X	51743431	51746232	GSPT2
X	51803007	51902357	MAGED1
X	52050860	52054255	RP11-114H20.1
X	52053176	52055684	RP11-33H15.1
X	52061827	52069248	MAGED4B
X	52184823	52192268	MAGED4
X	52199840	52203235	RP11-363G10.2
X	52369030	52375680	XAGE2
X	52495676	52500812	XAGE1A
X	52512077	52520803	XAGE1B
X	52644090	52654900	SSX7
X	52644567	52707189	SSX2
X	52751132	52790305	SSX2B
X	52796144	52798101	SPANXN5
X	52812204	52818301	XAGE5
X	52862525	52868068	XAGE3
X	52891306	52908560	FAM156B
X	52926402	52995472	FAM156A
X	53049091	53080615	GPR173
X	53082367	53088540	TSPYL2
X	53093710	53094858	RP11-236P24.3
X	53094145	53167014	KANTR
X	53169097	53170914	RP11-258C19.7
X	53191321	53225422	KDM5C
X	53232876	53321324	IQSEC2
X	53374149	53422728	SMC1A
X	53422690	53431120	RIBC1
X	53431258	53434373	HSD17B10
X	53432722	53433032	RP3-339A18.6
X	53532096	53686729	HUWE1
X	53936676	54048958	PHF8
X	54068324	54183281	FAM120C
X	54192823	54358642	WNK3
X	54440401	54445487	TSR2
X	54445454	54496166	FGD1
X	54530211	54561071	GNL3L
X	54748899	54798240	ITIH6
X	54807599	54816012	MAGED2
X	54920462	54931431	TRO
X	54932961	54998534	PFKFB1
X	55000357	55009057	APEX2
X	55009055	55031064	ALAS2
X	55075063	55078909	PAGE2B
X	55089008	55092842	PAGE2
X	55143102	55161310	FAM104B
X	55181391	55182920	MTRNR2L10
X	55220355	55224108	PAGE5
X	55258412	55264846	PAGE3
X	55452105	55453566	MAGEH1
X	55484616	55489202	USP51
X	55623400	55625325	FOXR2
X	55717739	55758774	RRAGB
X	55908123	56015173	RP13-188A5.1
X	56232421	56287889	KLF8
X	56563639	56567868	UBQLN2
X	56618391	56624458	RP11-431N15.2
X	56729259	56818380	LINC01420
X	56973510	56974796	RP11-445O16.3
X	56976370	56995537	SPIN3
X	57118551	57121547	SPIN2B
X	57121662	57127243	RP3-323P24.3
X	57134530	57137625	SPIN2A
X	57286706	57489196	FAAH2
X	57591652	57597545	ZXDB
X	57677067	57680260	NLRP2P
X	57906708	57910820	ZXDA
X	63347228	63351344	SPIN4
X	63349646	63352178	SPIN4-AS1
X	63634967	63809274	ARHGEF9
X	64185117	64205744	AMER1
X	64224196	64230631	ASB12
X	64268081	64395431	MTMR8
X	64915802	65034713	ZC4H2
X	65366638	65507887	ZC3H12B
X	65512582	65534775	LAS1L
X	65588377	65741931	MSN
X	65999751	66001071	RP6-159A1.3
X	66015461	66020422	RP6-159A1.4
X	66021738	66040125	VSIG4
X	66162549	66268867	HEPH
X	66595637	66639298	EDA2R
X	67544032	67730619	AR
X	68013470	68014901	RP6-201G10.2
X	68042344	68433913	OPHN1
X	68498323	68537285	YIPF6
X	68647666	68725842	STARD8
X	68828997	68842147	EFNB1
X	69160851	69165793	PJA1
X	69179557	69209924	LINC00269
X	69505241	69532508	FAM155B
X	69569669	69570357	RP13-57D9.3
X	69616067	70039469	EDA
X	70040542	70049938	AWAT2
X	70062491	70064179	OTUD6A
X	70133449	70166324	IGBP1
X	70148582	70149654	IGBP1-AS2
X	70163842	70165206	IGBP1-AS1
X	70177483	70205545	DGAT2L6
X	70234655	70240627	AWAT1
X	70258170	70259764	P2RY4
X	70268305	70281840	ARR3
X	70282093	70285002	RAB41
X	70286595	70290514	PDZD11
X	70290090	70420832	KIF4A
X	70423031	70433390	GDPD2
X	70444861	70505490	DLG3
X	70452958	70455994	DLG3-AS1
X	70528940	70908731	TEX11
X	70925582	70931125	SLC7A3
X	71056332	71073426	SNX12
X	71096197	71103535	FOXO4
X	71103889	71106788	CXorf65
X	71107404	71112108	IL2RG
X	71118556	71142454	MED12
X	71144831	71171201	NLGN3
X	71183559	71198175	RP5-1091N2.9
X	71215194	71225516	GJB1
X	71239624	71255146	ZMYM3
X	71283192	71301168	NONO
X	71301734	71305371	ITGB1BP2
X	71366239	71532374	TAF1
X	71533083	71575897	OGT
X	71578411	71613583	ACRC
X	71615916	71618517	CXCR3
X	71697196	71706455	LINC00891
X	71714371	71718151	CXorf49
X	71760775	71761659	RP11-402P6.11
X	71763424	71767204	CXorf49B
X	71910818	72161750	NHSL2
X	72127110	72131901	RGAG4
X	72181353	72302926	PIN4
X	72204657	72239047	ERCC6L
X	72255679	72277300	RPS4X
X	72301638	72307187	CITED1
X	72329516	72573103	HDAC8
X	72578814	72714319	PHKA1
X	72688950	72712348	PHKA1-AS1
X	72777009	72848802	DMRTC1B
X	72781883	72782594	RP1-172N19.1
X	72807425	72808210	RP11-69A21.2
X	72872025	72943814	DMRTC1
X	72938163	72938958	LINC00684
X	72998388	73002856	PABPC1L2B-AS1
X	73003517	73005713	PABPC1L2B
X	73077276	73079512	PABPC1L2A
X	73080167	73084635	PABPC1L2B-AS1
X	73126037	73128080	NAP1L6
X	73212299	73214848	NAP1L2
X	73447254	73455245	CDX4
X	73563200	73687102	CHIC1
X	73792205	73829231	TSIX
X	73820651	73852753	XIST
X	73944324	74070408	JPX
X	73948973	73949558	RP13-216E22.4
X	73963955	74293574	FTX
X	74304190	74305031	ZCCHC13
X	74421461	74533917	SLC16A2
X	74585217	74614617	RLIM
X	74732849	74925485	KIAA2022
X	75053172	75156732	ABCB7
X	75274085	75304600	UPRT
X	75368427	75523502	ZDHHC15
X	75782988	75785236	MAGEE2
X	75903105	75904858	RP11-212D3.4
X	76172936	76178204	PBDC1
X	76427724	76431353	MAGEE1
X	76657798	77014532	MIR325HG
X	77447405	77457278	FGF16
X	77504878	77786269	ATRX
X	77826364	77895593	MAGT1
X	77899438	77907373	COX7B
X	77910656	78050395	ATP7A
X	77968874	77969638	PGAM4
X	78065188	78129296	PGK1
X	78129748	78139706	TAF9B
X	78271464	78327691	CYSLTR1
X	78656069	78659328	ZCCHC5
X	78747709	78757094	LPAR4
X	78945332	78961954	P2RY10
X	79170972	79172229	GPR174
X	79360384	79367667	ITM2A
X	80014756	80031769	TBX22
X	80335504	80445311	FAM46D
X	80670854	80809688	BRWD3
X	81113701	81201942	HMGN5
X	81201943	81298547	SH3BGRL
X	83508250	83512127	POU3F4
X	83861126	83886699	CYLC1
X	84058346	84187907	RPS6KA6
X	84317874	84502479	HDX
X	85003826	85093316	APOOL
X	85092287	85109048	SATL1
X	85210706	85219698	RP5-928E24.2
X	85244032	85273362	ZNF711
X	85277396	85379743	POF1B
X	85861180	86047562	CHM
X	86148458	86832604	DACH2
X	87517749	87670050	KLHL4
X	87707579	87750883	RP1-138A5.3
X	88747225	88754785	CPXCR1
X	89423738	89446983	RP13-348B13.2
X	89921882	89922883	TGIF2LX
X	91307781	91308878	RP13-212L9.1
X	91414878	91434999	PABPC5-AS1
X	91434595	91438584	PABPC5
X	91779261	92623230	PCDH11X
X	93670930	93673568	NAP1L3
X	93674013	93712274	FAM133A
X	96684663	97604997	DIAPH2
X	96883908	96885467	RPA4
X	97431286	97642589	DIAPH2-AS1
X	98573859	98864984	RP11-485F13.1
X	100291644	100410273	PCDH19
X	100584802	100599885	TNMD
X	100627109	100639991	TSPAN6
X	100644218	100671299	SRPX2
X	100673330	100673981	RP11-524D16__A.3
X	100674491	100732123	SYTL4
X	100820359	100840932	CSTF2
X	100843324	100874345	NOX1
X	100913445	100929433	XKRX
X	100969708	100990829	ARL13A
X	101009346	101052116	TRMT2B
X	101078720	101096364	TMEM35
X	101098218	101163681	CENPI
X	101219769	101264497	DRP2
X	101268253	101293057	TAF7L
X	101345661	101349196	TIMM8A
X	101349447	101390796	BTK
X	101390824	101396154	RPL36A
X	101391011	101412297	RPL36A-HNRNPH2
X	101397803	101407925	GLA
X	101408295	101414133	HNRNPH2
X	101418287	101533459	ARMCX4
X	101550531	101554700	ARMCX1
X	101615118	101618001	ARMCX6
X	101622797	101627843	ARMCX3
X	101622983	101624164	ARMCX3-AS1
X	101655281	101659891	ARMCX2
X	101832112	101857577	NXF5
X	101882288	101932031	ZMAT1
X	102125688	102127711	TCEAL2
X	102140476	102142970	TCEAL6
X	102153708	102156057	BEX5
X	102247161	102326719	NXF2
X	102360395	102463274	NXF2B
X	102374628	102471812	TCP11X2
X	102513676	102516784	TMSB15A
X	102599168	102604159	ARMCX5
X	102599657	102659712	RP4-769N13.7
X	102651366	102659083	GPRASP1
X	102712176	102717733	GPRASP2
X	102720688	102753540	BHLHB9
X	102769161	102885406	LINC00630
X	102884414	102906158	LL0XNC01-237H1.2
X	102937250	102938962	RAB40AL
X	102937770	102940561	LL0XNC01-237H1.3
X	103062651	103064240	BEX1
X	103075810	103093125	NXF3
X	103215092	103217246	BEX4
X	103252995	103255203	TCEAL8
X	103273691	103276872	TCEAL5
X	103309346	103311046	BEX2
X	103330196	103332326	TCEAL7
X	103356445	103358469	WBP5
X	103376340	103378077	NGFRAP1
X	103404777	103408299	RP13-349O20.2
X	103497523	103500317	LL0XNC01-250H12.3
X	103499750	103519489	RAB40A
X	103576231	103587736	TCEAL4
X	103607451	103629690	TCEAL3
X	103626076	103626492	TCEAL3-AS1
X	103628704	103630953	TCEAL1
X	103675496	103688158	MORF4L2
X	103687284	103691772	MORF4L2-AS1
X	103707224	103728655	GLRA4
X	103710909	103714028	TMEM31
X	103773718	103792619	PLP1
X	103822322	103832228	RAB9B
X	103917411	103919548	LL0XNC01-116E7.2
X	103918896	103966712	TMSB15B
X	104011147	104013687	H2BFWT
X	104039949	104042454	H2BFM
X	104063871	104076212	RP11-722G7.1
X	104099214	104157027	SLC25A53
X	104112131	104115846	ZCCHC18
X	104166620	104195902	FAM199X
X	104250038	104254933	ESX1
X	104566315	105767829	IL1RAPL2
X	105218929	105220674	TEX13A
X	105822543	105958610	NRK
X	106032442	106038738	SERPINA7
X	106168305	106208956	MUM1L1
X	106611930	106679442	CXorf57
X	106693794	106796993	RNF128
X	106802680	106876145	TBC1D8B
X	106813871	107000244	MORC4
X	106900063	106903335	RIPPLY1
X	106900164	106930861	CLDN2
X	107064420	107118823	RBM41
X	107123427	107206433	NUP62CL
X	107206632	107244243	PIH1D3
X	107512983	107545821	FRMPD3-AS1
X	107522450	107605251	FRMPD3
X	107628424	107651026	PRPS1
X	107713221	107777342	TSC22D3
X	107777733	107794682	NCBP2L
X	107825755	107927193	MID2
X	107894597	107935980	RP6-191P20.4
X	107980864	107982370	TEX13B
X	108044970	108079184	VSIG1
X	108084207	108091618	PSMD10
X	108091668	108154671	ATG4A
X	108155607	108439497	COL4A6
X	108439844	108697545	COL4A5
X	108722070	108732687	RP6-24A23.6
X	108732482	108736409	IRS4
X	108736011	108738903	RP6-24A23.3
X	109372906	109482072	GUCY2F
X	109535781	109544690	NXT2
X	109623700	109625172	KCNE5
X	109624244	109733403	ACSL4
X	110002631	110182734	TMEM164
X	110194186	110440233	AMMECR1
X	110358816	110456334	RGAG1
X	110673856	110795819	CHRDL1
X	110944285	111227361	PAK3
X	111245103	111270523	CAPN6
X	111293780	111412375	DCX
X	111511662	111522399	LINC00890
X	111665811	111760649	ALG13
X	111706649	111711101	ALG13-AS1
X	111774315	112082776	TRPC5
X	111876051	111903990	TRPC5OS
X	112454500	112457112	ZCCHC16
X	112630648	112680054	LHFPL1
X	112774503	112840815	AMOT
X	113616300	113938218	XACT
X	114584078	114910061	HTR2C
X	115003975	115019977	IL13RA2
X	115110616	115234072	LRCH2
X	115189427	115192868	RBMXL3
X	115289727	115307556	LUZP4
X	115518182	115562731	PLS3-AS1
X	115561174	115650861	PLS3
X	115840964	115843050	DANT1
X	115917271	115969089	DANT2
X	116170722	116174972	AGTR2
X	116436622	116461458	SLC6A14
X	116461682	116463003	CT83
X	116692910	116694188	RP11-232D9.3
X	117897813	118117340	KLHL13
X	118346073	118449961	WDR44
X	118495898	118686163	DOCK11
X	118727572	118794539	IL13RA1
X	118823790	118826968	ZCCHC12
X	118839554	118919669	LINC01285
X	118974614	119018355	LONRF3
X	119073226	119076373	RP13-347D8.7
X	119078635	119150579	KIAA1210
X	119236245	119244466	PGRMC1
X	119291529	119335610	RP5-1139I1.1
X	119356301	119393595	RP5-1139I1.2
X	119399060	119454478	SLC25A43
X	119468400	119471319	SLC25A5
X	119538149	119565408	CXorf56
X	119574467	119591083	UBE2A
X	119588337	119605895	NKRF
X	119615724	119693370	SEPT6
X	119758613	119760164	SOWAHD
X	119786504	119791643	RPL39
X	119834022	119852998	UPF3B
X	119870475	119871827	RNF113A
X	119871487	119876662	NDUFA1
X	119895837	119920716	AKAP14
X	119920672	119943772	NKAP
X	120036236	120146854	RHOXF1-AS1
X	120070672	120077705	RHOXF2B
X	120109053	120115937	RHOXF1
X	120117642	120119700	LINC01402
X	120158561	120165630	RHOXF2
X	120250752	120258398	ZBTB33
X	120258650	120311556	TMEM255A
X	120362085	120383249	ATP1B4
X	120427827	120469365	LAMP2
X	120524609	120575794	CUL4B
X	120594010	120621074	MCTS1
X	120625793	120630150	C1GALT1C1
X	120872603	120875929	CT47B1
X	120877490	120951744	CT47A8
X	120877496	120878924	RP1-321E8.5
X	120930250	120932301	CT47A12
X	120933840	120937158	CT47A11
X	120938701	120942023	CT47A10
X	120943561	120946883	CT47A9
X	120953282	120961487	CT47A6
X	120953288	120956600	CT47A7
X	120958165	120966348	CT47A5
X	120967886	120971208	CT47A4
X	120972746	120976068	CT47A3
X	120977606	120980928	CT47A2
X	120982466	120985788	CT47A1
X	121047588	121050080	GLUD2
X	121871869	121876865	RP13-192B19.2
X	123184153	123490915	GRIA3
X	123600561	123733056	THOC2
X	123859724	123913979	XIAP
X	123872626	123873932	XIAP-AS1
X	123959233	123961341	RP1-315G1.3
X	123960212	124422664	STAG2
X	124227868	124373197	SH2D1A
X	124246249	124336862	TEX13D
X	124375903	124963817	TENM1
X	125320120	125325214	TEX13C
X	126109762	126115562	RP11-13E5.2
X	126164531	126165951	DCAF12L2
X	126549383	126552851	DCAF12L1
X	126819764	126821786	PRR32
X	127660631	127662530	CTD-2076M15.1
X	128050962	128052398	ACTRT1
X	128323620	128600468	RP1-30E17.2
X	129446501	129523500	SMARCA1
X	129539849	129592561	OCRL
X	129645259	129654937	APLN
X	129738974	129769538	XPNPEP2
X	129779979	129795201	SASH3
X	129803288	129843909	ZDHHC9
X	129869064	129957528	RP4-537K23.4
X	129906121	129929761	UTP14A
X	129981107	130058083	BCORL1
X	130064874	130110716	ELF4
X	130129362	130165887	AIFM1
X	130171649	130184870	RAB33A
X	130202711	130268899	ZNF280C
X	130339888	130373361	SLC25A14
X	130384440	130385447	GPR119
X	130401969	130413343	RBMX2
X	130477069	130524257	RP1-274L7.1
X	130623369	130903317	ENOX2
X	130981590	131058146	LINC01201
X	131058242	131089883	ARHGAP36
X	131273506	131578899	IGSF1
X	131544074	131545000	OR13H1
X	131702650	131830643	FIRRE
X	132023265	132075943	STK26
X	132076993	132128020	FRMD7
X	132203024	132219480	RAP2C
X	132217147	132432862	RAP2C-AS1
X	132369317	132489968	MBNL3
X	132626016	132961395	HS6ST2
X	132667642	132669888	HS6ST2-AS1
X	133024631	133097109	USP26
X	133216669	133218348	TFDP3
X	133300103	133415490	GPC4
X	133535745	133985895	GPC3
X	134237047	134246207	CCDC160
X	134373253	134428791	PHF6
X	134460153	134520513	HPRT1
